,lon,lat,date,manner_of_death,age,gender,city,state,mental_illness,threat_level,Armed,Race,State
781,-77.4105409,39.4142688,10/26/2015,shot,45,M,Frederick,maryland,FALSE,other,Armed/Undetermined,Black,maryland
782,-77.0368707,38.9071923,10/26/2015,shot,21,F,Washington,district of columbia,FALSE,attack,Armed/Undetermined,Black,district of columbia
783,-81.0998342,32.0835407,10/27/2015,shot,25,M,Savannah,georgia,FALSE,attack,Armed/Undetermined,Black,georgia
784,-88.391154,34.0701074,10/28/2015,shot,57,M,Smithville,mississippi,FALSE,attack,Armed/Undetermined,White,mississippi
785,-81.655651,30.3321838,10/28/2015,shot,34,M,Jacksonville,florida,FALSE,attack,Armed/Undetermined,Black,florida
786,-123.0350963,44.9428975,10/28/2015,shot,35,M,Salem,oregon,FALSE,attack,Armed/Undetermined,White,oregon
787,-123.9226385,45.9931636,10/28/2015,shot,36,M,Seaside,oregon,FALSE,attack,Armed/Undetermined,White,oregon
788,-82.9987942,39.9611755,10/29/2015,shot,NA,M,Columbus,ohio,FALSE,other,Armed/Undetermined,Black,ohio
789,-87.5519628,35.5478513,10/29/2015,shot,18,M,Hohenwald,tennessee,FALSE,attack,Armed/Undetermined,White,tennessee
790,-85.3705186,36.7903399,10/30/2015,shot,62,M,Burkesville,kentucky,FALSE,attack,Armed/Undetermined,White,kentucky
791,-96.5991593,32.7667955,10/30/2015,shot,29,M,Mesquite,texas,FALSE,attack,Armed/Undetermined,Hispanic,texas
792,-95.3698028,29.7604267,10/30/2015,shot,25,M,Houston,texas,FALSE,other,Armed/Undetermined,Black,texas
793,-95.2944129,36.1150237,10/30/2015,shot and Tasered,30,M,Norwood,oklahoma,FALSE,attack,Armed/Undetermined,White,oklahoma
794,-104.8213634,38.8338816,10/31/2015,shot,33,M,Colorado Springs,colorado,FALSE,attack,Armed/Undetermined,White,colorado
795,-94.3692926,44.8925483,11/1/2015,shot,49,M,Hutchinson,minnesota,FALSE,attack,Armed/Undetermined,White,minnesota
